art,klasse,ordnung,familie,behind_scenes
1040108,1,106,10608,0
1040201,1,106,10601,0
1070418,1,108,10813,0
1100202,1,113,11326,0
1100703,1,113,11312,0
1120212,1,115,11510,0
1120415,1,115,11514,0
2020103,2,227,22701,0
2050130,2,231,23102,0
2050606,2,222,22201,0
2070803,2,206,20611,0
2071003,2,206,20615,0
2080119,2,234,23404,0
2150101,2,235,23501,0
2150233,2,235,23507,0
2150252,2,235,23506,0
2210207,2,241,24103,0
3010104,3,301,30112,0
3010407,3,301,30114,0
3010608,3,301,30105,0
3010625,3,301,30105,0
3010902,3,301,30101,0
3030106,3,305,30506,0
3040111,3,303,30303,0
3050106,3,306,30602,0
3070601,4,403,40323,0
3070806,4,403,40336,0
3070810,4,403,40336,0
4010404,5,505,50506,0
4010501,5,505,50508,0
4010503,5,505,50507,0
4010901,5,507,50707,0
4010905,5,507,50707,0
4011001,5,507,50708,0
4040103,5,517,51702,0
4040108,5,517,51701,0
4050101,5,518,51801,0
4050105,5,518,51801,0
4060101,5,520,52003,0
4060102,5,520,52001,0
4060103,5,520,52001,0
4090103,5,528,52808,0
4090301,5,528,52825,0
4100104,5,550,550009,0
4100105,5,550,550009,0
4100203,5,550,550075,0
4120101,5,529,52905,0
4120301,5,527,52703,0
4120502,5,527,52717,0
4150102,5,552,55201,0
4230701,5,550,550001,0
4232701,5,550,550017,0
4233301,5,550,550035,0
21102268,5,523,52302,0
21102845,3,305,30517,0
21103013,5,550,550009,
21103047,3,305,30513,
21103252,5,521,52102,
50901093,2,206,20612,
50901188,5,550,550030,
50901189,5,550,550030,
50901893,3,306,30601,
50901987,5,550,550032,
50901988,4,403,40328,
50902026,5,550,550030,
50902534,5,550,550043,
50902832,5,550,550030,
50902851,5,550,550071,
50902859,5,552,55203,
50902871,5,550,550009,
50902892,5,550,550043,
50902959,5,550,550072,
50903016,5,549,54901,
50903017,5,549,54901,
50903025,3,305,30513,
50903048,5,550,550072,
50903052,5,523,52304,
50903053,5,523,52304,
50903088,2,231,23102,
50903120,5,550,550130,
50903236,3,305,30528,
50903915,5,528,52823,
50904945,5,549,54914,
50905037,5,528,52825,
50905500,5,547,54705,
50905511,5,527,52718,
50906834,5,549,54903,
50906962,5,550,550130,
50907609,5,527,52712,
55003263,5,550,550130,
55003268,5,550,550058,
55003280,5,539,53902,
55003285,5,550,550058,
55003338,5,527,52718,
55003365,5,550,550058,
55003403,5,550,550009,
55003422,5,550,550130,
55003432,5,550,550074,
55003441,5,550,550072,
55003442,5,550,550021,
55003455,5,550,550059,
55003460,5,550,550058,
55003486,5,550,550021,
55003518,5,550,550059,
55003520,5,544,54404,
55003531,5,550,550124,
55003702,5,527,52718,
55003740,5,547,54703,
55003923,5,550,550055,
55004127,5,550,550047,
55004128,5,550,550047,
55004197,5,544,54405,
55004298,5,549,54914,
55004333,5,544,54401,
55004563,5,550,550074,
55005369,5,550,550074,
55005370,5,550,550009,
55005436,5,550,550075,
55005515,5,550,550017,
55005667,5,550,550073,
55005744,5,522,52201,
55008000,5,550,550017,
55010213,4,403,40328,
55010216,5,550,550047,
55010445,5,528,52802,
55010452,4,402,40201,
55010742,5,550,550057,
55010938,5,517,51701,
55011466,5,514,51401,
55011467,5,527,52717,
