art,klasse,ordnung,familie
1020403,1,102,10207
1020611,1,102,10213
1070111,1,108,10802
1080101,1,109,10901
1080202,1,109,10904
1080301,1,110,11001
1080304,1,110,11001
1161016,1,121,12124
2010102,2,202,20201
2010105,2,201,20101
2010202,2,204,20401
2050202,2,229,22901
2080119,2,234,23404
2100414,2,220,22005
2120305,2,219,21904
2130308,2,244,24412
2130525,2,244,24417
2130820,2,244,24407
2150101,2,235,23501
2150233,2,235,23507
2200102,2,239,23904
2200605,2,240,24003
2210210,2,241,24103
3010825,3,301,30107
3030104,3,305,30506
3030106,3,305,30506
3030209,3,305,30504
3040205,3,303,30310
3040213,3,303,30310
3040304,3,303,30316
3040305,3,303,30316
3040707,3,303,30332
3040804,3,303,30330
3041105,3,303,30344
3041110,3,303,30344
3041123,3,303,30344
3070802,4,403,40336
3070805,4,403,40336
3070806,4,403,40336
3070808,4,403,40336
5050301,6,605,60503
5050302,6,605,60503
5050303,6,605,60503
21102378,2,244,24407
50901010,6,609,60905
50901527,1,120,12001
50902216,2,244,24405
50902219,2,235,23507
50904148,3,303,30342
50905627,3,305,30513
50907203,6,607,60702
