art,klasse,ordnung,familie
1020604,1,102,10213
1020611,1,102,10213
1070104,1,108,10802
1070111,1,108,10802
1070119,1,108,10802
1070120,1,108,10802
1070308,1,108,10807
1070401,1,108,10813
1070406,1,108,10813
1070408,1,108,10813
1070412,1,108,10813
1070416,1,108,10813
1070418,1,108,10813
1070501,1,108,10812
1070505,1,108,10812
1070518,1,108,10810
1070519,1,108,10810
1070521,1,108,10809
1070522,1,108,10812
1070705,1,108,10815
1070706,1,108,10815
1070802,1,108,10814
1070809,1,108,10814
1070814,1,108,10814
1070912,1,108,10816
1071005,1,108,10815
1071111,1,108,10818
1071205,1,108,10819
1080102,1,109,10901
1080201,1,109,10904
1100510,1,113,11314
1100603,1,113,11315
1100703,1,113,11312
1120108,1,115,11509
1120118,1,115,11509
1120303,1,115,11512
1120603,1,115,11504
1120702,1,115,11506
1120703,1,115,11506
1120704,1,115,11506
1120810,1,115,11507
1120818,1,115,11507
1120820,1,115,11507
1120821,1,115,11507
1120823,1,115,11507
1120901,1,115,11507
1120907,1,115,11508
1120911,1,115,11508
1120912,1,115,11508
1120920,1,115,11508
1140201,1,116,11601
1160202,1,121,12103
2020102,2,227,22701
2050202,2,229,22901
2050604,2,222,22201
2050606,2,222,22201
2070402,2,206,20608
2070404,2,206,20608
2070609,2,206,20609
2080114,2,234,23404
2080417,2,234,23414
2080601,2,234,23402
2090105,2,207,20705
2100415,2,220,22005
2100416,2,220,22005
2120308,2,219,21906
2120317,2,219,21905
2130210,2,244,24402
2130213,2,244,24402
2130214,2,244,24402
2130302,2,244,24414
2130701,2,244,24406
2130704,2,244,24406
2130706,2,244,24406
2130707,2,244,24406
2130709,2,244,24406
2130716,2,244,24406
5010109,6,601,60101
5020201,6,602,60204
5050301,6,605,60503
5050302,6,605,60503
5070301,6,607,60703
21102625,1,108,10814
21102722,1,115,11506
21102735,1,115,11508
21102994,1,121,12101
50902216,2,244,24405
50904383,1,121,12122
50906976,1,115,11509
50907156,1,108,10812
55008171,6,603,60301
55009547,1,108,10809
55010367,1,121,12119
