art,klasse,ordnung,familie,behind_scenes
2090505,2,207,20707,0
2090529,2,207,20707,0
2110704,2,223,22307,0
2110904,2,223,22308,0
2110906,2,223,22308,0
2120110,2,219,21908,0
2120206,2,219,21904,0
2120308,2,219,21906,0
2130125,2,244,24420,0
2130137,2,244,24420,0
2130156,2,244,24420,0
2130330,2,244,24413,0
2130503,2,244,24417,0
2200110,2,239,23904,
2210103,2,241,24107,
2220608,2,250,250094,
2220612,2,250,250094,
2220613,2,250,250094,
2221111,2,250,250142,
2221120,2,250,250141,
2221206,2,250,250122,
2222208,2,250,250179,
2222308,2,250,250179,
2222317,2,250,250179,
2222505,2,250,250158,
2222818,2,250,250135,
2222820,2,250,250135,
21103153,2,214,21401,
21103653,2,250,250179,
55005797,2,223,22308,
55009890,2,244,24420,
