art,klasse,ordnung,familie,behind_scenes
2020110,2,227,22701,0
3010205,3,301,30111,0
3010901,3,301,30101,0
3010902,3,301,30101,0
3070301,4,403,40328,0
4010402,5,505,50506,0
4010404,5,505,50506,0
4010601,5,506,50601,0
4010901,5,507,50707,0
4010903,5,507,50707,0
4010906,5,507,50707,0
4020202,5,514,51401,0
4020214,5,514,51401,0
4020402,5,514,51403,0
4020502,5,513,51301,0
4030102,5,553,55301,0
4100103,5,550,550009,0
4100201,5,550,550075,0
4100503,5,550,550005,0
4233301,5,550,550035,0
4260602,5,552,55203,0
21103019,5,550,550130,
21103023,5,514,51401,
21103026,5,514,51403,
21103492,5,513,51301,
21103502,5,505,50508,
50901065,5,550,550130,
50901172,5,550,550043,
50901925,5,516,51601,
50901999,5,550,550059,
50902009,5,550,550130,
50902229,5,550,550130,
50902558,1,115,11515,
50902856,5,550,550122,
50903409,4,403,40326,
50904788,4,403,40326,
50904934,5,547,54705,
50904941,5,523,52302,
50905499,5,547,54705,
50905501,5,547,54705,
50905517,5,541,54106,
50905535,5,547,54705,
50905543,5,547,54705,
50905603,5,526,52601,
50906044,5,523,52302,
50906834,5,549,54903,
50907271,4,403,40326,
50907463,4,403,40326,
50907677,5,527,52718,
55003239,5,528,52830,
55003254,5,527,52703,
55003264,5,552,55205,
55003338,5,527,52718,
55003365,5,550,550058,
55003372,5,550,550074,
55003379,5,550,550075,
55003380,5,550,550075,
55003403,5,550,550009,
55003418,5,550,550130,
55003422,5,550,550130,
55003429,5,550,550119,
55003454,5,550,550059,
55003458,5,550,550059,
55003461,5,550,550058,
55003485,5,550,550114,
55003486,5,550,550021,
55003510,5,547,54703,
55003523,5,550,550072,
55003543,5,550,550072,
55003566,5,550,550075,
55003594,5,549,54903,
55003610,5,550,550072,
55003637,5,528,52830,
55003676,5,550,550125,
55003821,5,550,550066,
55003889,5,550,550075,
55003900,5,526,52601,
55004070,5,552,55204,
55004233,5,542,54201,
55004293,5,550,550058,
55004301,5,550,550058,
55004319,5,550,550014,
55004322,5,550,550058,
55004374,5,552,55204,
55004509,5,547,54703,
55004668,5,552,55202,
55004777,5,550,550130,
55004955,5,550,550077,
55004981,5,550,550075,
55005360,6,617,61701,
55005621,5,544,54403,
55005666,5,550,550058,
55006645,5,544,54403,
55007007,6,615,61501,
55007501,5,550,550045,
55008233,5,528,52831,
55008484,5,528,52821,
55008631,5,514,51401,
55009113,1,115,11515,
55009260,5,550,550032,
55009556,5,528,52831,
55009759,5,550,550058,
55010209,1,115,11515,
55010234,1,115,11515,
55011700,5,550,550032,
55011884,5,550,550125,
55013071,5,550,550004,
55013752,5,550,550021,
55013859,5,523,52302,
55013887,5,550,550023,
55014313,5,547,54705,
55015816,5,550,550130,
