art,klasse,ordnung,familie,behind_scenes
1040105,1,106,10608,0
1070104,1,108,10802,0
1070111,1,108,10802,0
1070120,1,108,10802,0
1080201,1,109,10904,0
1100603,1,113,11315,0
1100706,1,113,11311,0
1120108,1,115,11509,0
1120307,1,115,11512,0
1120603,1,115,11504,0
1120812,1,115,11507,0
1120825,1,115,11507,0
1120901,1,115,11507,0
1120906,1,115,11508,0
1120912,1,115,11508,0
1120920,1,115,11508,0
1160202,1,121,12103,0
2050202,2,229,22901,0
2050604,2,222,22201,0
2080411,2,234,23414,0
2080415,2,234,23414,0
2080417,2,234,23414,0
2080601,2,234,23402,0
2090603,2,207,20710,0
2100201,2,220,22004,0
2120122,2,219,21908,0
2130101,2,244,24420,0
2130108,2,244,24420,0
2130112,2,244,24420,0
2130152,2,244,24420,0
2130405,2,244,24415,0
2140213,2,214,21401,0
2200102,2,239,23904,0
3010202,3,301,30110,0
3010302,3,301,30103,0
3010407,3,301,30114,0
3010604,3,301,30105,0
3010818,3,301,30107,0
3010827,3,301,30107,0
3030105,3,305,30506,0
3030209,3,305,30504,0
3030601,3,305,30524,0
3030621,3,305,30524,0
3030622,3,305,30524,0
3040806,3,303,30343,0
3041115,3,303,30344,0
3050206,3,306,30601,0
21102731,1,115,11507,0
21102735,1,115,11508,0
50901028,1,115,11514,0
50901900,3,303,30311,0
50902563,3,306,30601,0
50903429,3,305,30521,0
50906759,5,526,52601,
55003549,5,528,52822,
55004338,2,234,23414,
55005740,3,303,30344,
55007647,3,305,30504,
