art,klasse,ordnung,familie
2080119,2,234,23404
2080505,2,234,23401
3010502,3,301,30109
3010604,3,301,30105
3010625,3,301,30105
3010825,3,301,30107
3030209,3,305,30504
3030424,3,305,30513
3040111,3,303,30303
3050106,3,306,30602
3060501,4,402,40204
3060504,4,402,40204
3070301,4,403,40328
21102265,3,301,30110
21102280,3,301,30109
21102496,3,305,30513
21102787,3,303,30330
21103505,3,301,30105
21103565,2,234,23408
50904960,2,235,23504
50905627,3,305,30513
50905633,3,305,30517
50906438,4,403,40328
55010546,2,234,23412
55010784,3,301,30105
