art,klasse,ordnung,familie
1020611,1,102,10213
1070505,1,108,10812
1070519,1,108,10810
1100120,1,113,11309
1100505,1,113,11314
1100510,1,113,11314
2050602,2,222,22201
2050604,2,222,22201
2070402,2,206,20608
2070514,2,206,20607
2070523,2,206,20607
2070617,2,206,20609
2070621,2,206,20609
2070809,2,206,20611
2090603,2,207,20710
2090609,2,207,20703
2100419,2,220,22005
2130220,2,244,24402
2130704,2,244,24406
2130706,2,244,24406
2150212,2,235,23506
3010608,3,301,30105
3010807,3,301,30107
3010825,3,301,30107
5010109,6,601,60101
5020201,6,602,60204
5040202,6,604,60402
5050303,6,605,60503
21102570,2,244,24406
21103095,6,605,60501
50904392,1,121,12101
50904611,6,605,60506
50906385,6,604,60401
50907156,1,108,10812
55013589,6,605,60505
