art,klasse,ordnung,familie
1020202,1,102,10202
1020401,1,102,10208
1020403,1,102,10207
1020501,1,102,10205
1020601,1,102,10213
1020603,1,102,10212
1030108,1,104,10403
1040107,1,106,10608
1040203,1,106,10601
1040204,1,106,10601
1070111,1,108,10802
1070117,1,108,10802
1070118,1,108,10802
1070119,1,108,10802
1070309,1,108,10806
1070521,1,108,10809
1070525,1,108,10810
1070609,1,108,10815
1070903,1,108,10816
1080101,1,109,10901
1080102,1,109,10901
1080201,1,109,10904
1080304,1,110,11001
1100106,1,113,11309
1100121,1,113,11309
1100302,1,113,11340
1100307,1,113,11335
1100309,1,113,11335
1100311,1,113,11340
1100316,1,113,11340
1100320,1,113,11336
1100404,1,113,11338
1100407,1,113,11342
1100408,1,113,11301
1100414,1,113,11337
1100420,1,113,11301
1100421,1,113,11339
1100425,1,113,11342
1100505,1,113,11314
1100508,1,113,11316
1100510,1,113,11314
1100701,1,113,11311
1100705,1,113,11312
1100901,1,113,11319
1120102,1,115,11509
1120108,1,115,11509
1120115,1,115,11509
1120205,1,115,11510
1120305,1,115,11512
1120306,1,115,11511
1120307,1,115,11512
1120405,1,115,11514
1120407,1,115,11514
1120413,1,115,11514
1120417,1,115,11514
1120507,1,115,11503
1120510,1,115,11501
1120603,1,115,11504
1120610,1,115,11504
1120802,1,115,11507
1120806,1,115,11507
1120807,1,115,11507
1120810,1,115,11507
1120812,1,115,11507
1120818,1,115,11507
1120832,1,115,11507
1120905,1,115,11508
1120920,1,115,11508
1120921,1,115,11508
1150105,1,120,12001
1150204,1,120,12002
1150206,1,120,12002
1150301,1,120,12003
1160107,1,121,12101
1160108,1,121,12102
1160302,1,121,12104
1160409,1,121,12110
1160429,1,121,12110
1160434,1,121,12110
1160435,1,121,12110
1160501,1,121,12106
1160607,1,121,12105
1160708,1,121,12112
1160810,1,121,12116
1160811,1,121,12113
1160817,1,121,12116
1160818,1,121,12116
1160820,1,121,12116
1160828,1,121,12115
1160829,1,121,12114
1160906,1,121,12120
1161009,1,121,12124
1161020,1,121,12124
1161025,1,121,12124
2010102,2,202,20201
2010105,2,201,20101
2010202,2,204,20401
2010203,2,204,20401
2040105,2,231,23105
2040108,2,231,23105
2050202,2,229,22901
2050207,2,229,22901
2050602,2,222,22201
2070402,2,206,20608
2070406,2,206,20608
2070507,2,206,20607
2070514,2,206,20607
2070906,2,206,20613
2080102,2,234,23404
2080111,2,234,23404
2080113,2,234,23405
2080117,2,234,23405
2080119,2,234,23404
2080208,2,234,23408
2080304,2,243,24303
2080305,2,243,24301
2080402,2,234,23414
2080501,2,234,23401
2090202,2,207,20702
2090211,2,207,20702
2090213,2,207,20702
2090529,2,207,20707
2090603,2,207,20710
2090611,2,207,20703
2090614,2,207,20710
2090702,2,207,20709
2090704,2,207,20709
2090710,2,207,20709
2090728,2,207,20709
2090730,2,207,20709
2090731,2,207,20709
2100102,2,242,24201
2100403,2,220,22005
2100419,2,220,22005
2120303,2,219,21904
2120309,2,219,21901
2130317,2,244,24402
2130811,2,244,24407
2140103,2,216,21601
2140202,2,214,21401
2150207,2,235,23506
2150208,2,235,23503
2150210,2,235,23507
2150212,2,235,23506
2150214,2,235,23503
2150227,2,235,23503
2150304,2,235,23504
2150310,2,235,23504
2200115,2,239,23904
2200118,2,239,23903
2200605,2,240,24003
2221222,2,250,250122
2222406,2,250,250175
2223208,2,250,250072
2223219,2,250,250072
3030401,3,305,30513
3040312,3,303,30316
3060501,4,402,40204
5020201,6,602,60204
5030105,6,603,60301
5040112,6,604,60401
5040209,6,604,60402
5050301,6,605,60503
5050304,6,605,60503
5050502,6,605,60505
21102314,1,113,11343
21102329,1,121,12117
21102736,1,119,11901
21102857,1,119,11901
21102895,2,206,20612
21102912,5,526,52601
21103173,6,607,60702
21103213,5,526,52601
21103227,6,607,60705
21103245,1,113,11342
21103661,5,526,52601
50901010,6,609,60905
50902447,2,219,21908
50902554,1,105,10501
50902657,5,526,52601
50902770,1,113,11342
50903080,5,528,52831
50903574,6,615,61501
50903589,3,305,30513
50903610,6,607,60704
50905511,5,527,52718
50905840,3,301,30105
50906280,5,528,52814
50906378,1,115,11503
50906639,1,121,12108
50906667,1,115,11507
50906730,1,115,11507
50906880,1,108,10807
50907613,1,121,12112
55003583,6,615,61501
55009442,6,607,60704
