art,klasse,ordnung,familie
1070606,1,108,10815
1070811,1,108,10814
1100707,1,113,11311
1100902,1,113,11319
1120121,1,115,11509
1120202,1,115,11510
1120304,1,115,11512
1120307,1,115,11512
1120826,1,115,11507
1120905,1,115,11508
1120920,1,115,11508
1120921,1,115,11508
1150103,1,120,12001
1160103,1,121,12102
1160301,1,121,12104
1160410,1,121,12110
2010105,2,201,20101
2010202,2,204,20401
2050214,2,229,22901
2080102,2,234,23404
2080111,2,234,23404
2080304,2,243,24303
2080315,2,243,24303
2090603,2,207,20710
2090609,2,207,20703
2090712,2,207,20709
2090746,2,207,20709
2110209,2,223,22318
2130205,2,244,24402
2130405,2,244,24415
2130925,2,244,24405
2150225,2,235,23507
3010202,3,301,30110
3010625,3,301,30105
3010710,3,301,30106
3010720,3,301,30106
3010828,3,301,30107
3030104,3,305,30506
3030204,3,305,30504
3030210,3,305,30504
3040111,3,303,30303
3050105,3,306,30602
3050206,3,306,30601
3070506,4,403,40326
3070902,4,403,40307
5050304,6,605,60503
5050413,6,605,60504
50901568,1,115,11514
50901571,1,115,11510
50901611,1,108,10815
50903404,2,235,23507
50905840,3,301,30105
55005896,2,234,23412
55006812,2,250,250072
55006896,1,115,11509
55006898,1,115,11509
55006899,1,115,11507
55006901,2,235,23506
55006902,2,235,23504
55007982,2,234,23408
